optimizer_steps,loss,physical_velocity_mse,spectral_relative_error,velocity_nrmse,velocity_nrmse_u,velocity_nrmse_v,gradient_norm,rollout_nrmse,final_rollout_nrmse,boundary_normal_mse,stable
0.0,2.933298110961914,0.08131791651248932,3.4578113555908203,1.1949931383132935,1.0188164710998535,1.170526146888733,nan,nan,nan,nan,1.0
100.0,0.2879253625869751,0.0718667209148407,0.2554875612258911,0.29994237422943115,0.34393373131752014,0.24898383021354675,15.66521167755127,nan,nan,nan,1.0
200.0,0.0393979474902153,0.0074422722682356834,0.02561018615961075,0.17537549138069153,0.19712163507938385,0.14693167805671692,16.646957397460938,nan,nan,nan,1.0
300.0,0.01414481084793806,0.0015290825394913554,0.007776682265102863,0.11209196597337723,0.1279745250940323,0.10745155066251755,12.82822036743164,nan,nan,nan,1.0
400.0,0.008413326926529408,0.0007736098486930132,0.004897408653050661,0.0845898985862732,0.09696017950773239,0.08543965220451355,10.205757141113281,nan,nan,nan,1.0
500.0,0.03819587081670761,0.0009456418920308352,0.040357086807489395,0.16355352103710175,0.1808701753616333,0.14337345957756042,26.171903610229492,nan,nan,nan,1.0
600.0,0.04109635576605797,0.0004699754645116627,0.048326119780540466,0.11900366097688675,0.15981659293174744,0.08004944771528244,21.287830352783203,nan,nan,nan,1.0
700.0,0.006867419462651014,0.0003825334715656936,0.0053120506927371025,0.0601712204515934,0.0961303636431694,0.05684411898255348,12.288290023803711,nan,nan,nan,1.0
800.0,0.005653540138155222,0.0002901007828768343,0.004524751100689173,0.05728092044591904,0.09519290179014206,0.045591503381729126,10.990952491760254,nan,nan,nan,1.0
900.0,0.00517700519412756,0.00022640277165919542,0.004463378805667162,0.05359741300344467,0.08993057161569595,0.04181563854217529,9.891919136047363,nan,nan,nan,1.0
1000.0,0.004961400292813778,0.00018064009782392532,0.004576726350933313,0.05139574408531189,0.08357656747102737,0.0432995967566967,8.68334674835205,nan,nan,nan,1.0
1100.0,0.003631195053458214,0.00014590536011382937,0.003183164866641164,0.045408543199300766,0.06820501387119293,0.04099301993846893,9.135030746459961,nan,nan,nan,1.0
1200.0,0.0026624412275850773,0.00011862089013447985,0.0021914634853601456,0.04034525528550148,0.05682959780097008,0.037626124918460846,9.425439834594727,nan,nan,nan,1.0
1300.0,0.003516795812174678,9.818877879297361e-05,0.0034031588584184647,0.04235995188355446,0.059475127607584,0.041938647627830505,7.062559127807617,nan,nan,nan,1.0
1400.0,0.003073836676776409,8.250134123954922e-05,0.003063357202336192,0.04155026376247406,0.0505475215613842,0.04334178566932678,6.621081829071045,nan,nan,nan,1.0
1500.0,0.0027570435777306557,7.019810436759144e-05,0.0027694148011505604,0.042596593499183655,0.04703884571790695,0.04243661090731621,6.335092067718506,nan,nan,nan,1.0
1600.0,0.002205433789640665,6.057359860278666e-05,0.0021362926345318556,0.03446453809738159,0.04248500242829323,0.03792679309844971,6.458390712738037,nan,nan,nan,1.0
1700.0,0.004806879907846451,9.8072734544985e-05,0.004259108100086451,0.054728053510189056,0.06721673160791397,0.0434596948325634,8.910406112670898,nan,nan,nan,1.0
