chronopde_nrmse,difference_dct_minus_fft,fno_ct_nrmse,interval_index,target_energy,time,trajectory_id
0.006453728303313255,-0.010356873273849487,0.016810601577162743,0,35869.0546875,0.32471805810928345,train-0000
0.01059631910175085,-0.0018840385600924492,0.0124803576618433,33,6.5190324783325195,16.66364097595215,train-0000
0.02102869749069214,-0.0047089941799640656,0.025737691670656204,66,0.6286513805389404,33.3902702331543,train-0000
0.024231383576989174,-0.005088828504085541,0.029320212081074715,99,0.5396677255630493,49.546146392822266,train-0000
0.00616713659837842,-0.006743526551872492,0.012910663150250912,0,24662.60546875,0.39432182908058167,train-0001
0.011955523863434792,-0.0013239886611700058,0.013279512524604797,33,6.539709091186523,16.827564239501953,train-0001
0.01606910116970539,-0.002875974401831627,0.018945075571537018,66,2.606740951538086,33.334991455078125,train-0001
0.03172341734170914,-0.004061944782733917,0.035785362124443054,99,0.5242698192596436,49.529090881347656,train-0001
0.007952426560223103,-0.008210019208490849,0.01616244576871395,0,43091.6328125,0.11211130023002625,train-0002
0.010456620715558529,-0.0011254223063588142,0.011582043021917343,33,10.402345657348633,16.695676803588867,train-0002
0.01879556104540825,-0.0039017274975776672,0.022697288542985916,66,1.087567687034607,33.43558883666992,train-0002
0.0307422187179327,-0.004670204594731331,0.03541242331266403,99,0.3988194465637207,49.553157806396484,train-0002
0.006744949147105217,-0.01330094039440155,0.020045889541506767,0,45389.83984375,0.2390560507774353,train-0003
0.014205897226929665,-0.001406332477927208,0.015612229704856873,33,3.655487537384033,16.526153564453125,train-0003
0.02268512360751629,-0.005109954625368118,0.027795078232884407,66,0.9585245847702026,33.29354476928711,train-0003
0.03192788362503052,-0.005777809768915176,0.037705693393945694,99,0.5103304386138916,49.671295166015625,train-0003
