trajectory_id,relative_l2,final_nrmse,mean_nrmse,max_abs_prediction,diverged
id-0000,0.24100251495838165,0.3691498935222626,0.22114594280719757,1.92026686668396,False
id-0001,0.22505319118499756,0.34096550941467285,0.20826569199562073,2.2533862590789795,False
id-0002,0.2746375799179077,0.4357246458530426,0.2478122115135193,3.2196359634399414,False
id-0003,0.30575209856033325,0.45416057109832764,0.27991536259651184,1.9486044645309448,False
id-0004,0.2737247049808502,0.43905431032180786,0.2459871917963028,1.889719009399414,False
id-0005,0.24333369731903076,0.38082990050315857,0.22300073504447937,1.704798936843872,False
id-0006,0.2802574634552002,0.4389757513999939,0.25110068917274475,1.9786193370819092,False
id-0007,0.34313198924064636,0.499259352684021,0.314640611410141,2.1530134677886963,False
id-0008,0.279489666223526,0.4338596761226654,0.25757500529289246,2.1393496990203857,False
id-0009,0.25139811635017395,0.39556580781936646,0.23757609724998474,2.0147180557250977,False
id-0010,0.32949772477149963,0.5217474699020386,0.29369157552719116,1.9701639413833618,False
id-0011,0.27325573563575745,0.4443986117839813,0.24466969072818756,2.2000789642333984,False
id-0012,0.2630186676979065,0.4069698452949524,0.2416640967130661,2.189347267150879,False
id-0013,0.2321767657995224,0.3453071117401123,0.21672841906547546,2.2292027473449707,False
id-0014,0.33134016394615173,0.5163623094558716,0.29620057344436646,1.8556492328643799,False
id-0015,0.24602863192558289,0.36363041400909424,0.23219573497772217,1.7212225198745728,False
id-0016,0.25744858384132385,0.3883279860019684,0.2379242479801178,2.032477617263794,False
id-0017,0.21180759370326996,0.3136579394340515,0.19768357276916504,1.616159439086914,False
id-0018,0.3052235245704651,0.4462366998195648,0.28508180379867554,1.5382790565490723,False
id-0019,0.34646865725517273,0.48295357823371887,0.32032299041748047,2.0716986656188965,False
id-0020,0.27997931838035583,0.4275287687778473,0.25725996494293213,1.8135319948196411,False
id-0021,0.25011754035949707,0.3872057795524597,0.23068644106388092,2.1771903038024902,False
id-0022,0.2550809979438782,0.3837459087371826,0.23371796309947968,2.4005720615386963,False
id-0023,0.28717729449272156,0.4399738609790802,0.2637471854686737,2.300463914871216,False
id-0024,0.32499417662620544,0.501729428768158,0.2937338650226593,2.067103385925293,False
id-0025,0.2710212767124176,0.3783581256866455,0.2535742223262787,1.8179702758789062,False
id-0026,0.2897525131702423,0.4435122609138489,0.2644846737384796,2.8934383392333984,False
id-0027,0.22895023226737976,0.3604241609573364,0.2101833075284958,1.8303508758544922,False
id-0028,0.24908852577209473,0.3669646680355072,0.2301418036222458,1.7773600816726685,False
id-0029,0.27431365847587585,0.43508437275886536,0.25171932578086853,2.092339515686035,False
id-0030,0.34580671787261963,0.5298798084259033,0.31426724791526794,1.9565528631210327,False
id-0031,0.30252811312675476,0.4668263792991638,0.2735675275325775,2.3072457313537598,False
id-0032,0.2341732531785965,0.3502674996852875,0.221561461687088,1.7868660688400269,False
id-0033,0.3055468797683716,0.4572969973087311,0.28000614047050476,1.6313538551330566,False
id-0034,0.29703381657600403,0.42769625782966614,0.274520605802536,2.5086352825164795,False
id-0035,0.2946943938732147,0.45373812317848206,0.2662288248538971,1.7669888734817505,False
id-0036,0.2969440519809723,0.48024699091911316,0.2713339328765869,1.7093374729156494,False
id-0037,0.33321020007133484,0.5276753306388855,0.29971417784690857,1.9970805644989014,False
id-0038,0.3323066234588623,0.49192026257514954,0.3072901964187622,3.5019826889038086,False
id-0039,0.25293290615081787,0.3868939280509949,0.23170886933803558,2.9235801696777344,False
id-0040,0.24318508803844452,0.3822133541107178,0.21991343796253204,2.206055164337158,False
id-0041,0.30145037174224854,0.4333663582801819,0.2829221189022064,2.768612861633301,False
id-0042,0.2763122618198395,0.4269254803657532,0.25468218326568604,1.7255529165267944,False
id-0043,0.2597801685333252,0.3923525810241699,0.23994089663028717,2.2191848754882812,False
id-0044,0.30767548084259033,0.46363282203674316,0.2799956500530243,1.9301692247390747,False
id-0045,0.2225165218114853,0.3327135741710663,0.2081693857908249,2.1581170558929443,False
id-0046,0.30325791239738464,0.461021363735199,0.2758863568305969,2.009016752243042,False
id-0047,0.32779446244239807,0.512701153755188,0.29188716411590576,1.9806941747665405,False
id-0048,0.25283047556877136,0.4053095281124115,0.22641293704509735,1.9745320081710815,False
id-0049,0.3214608132839203,0.4718197286128998,0.29618826508522034,2.560828924179077,False
