seed,fft_rollout_relative_l2,dct_rollout_relative_l2,relative_improvement,fft_velocity_nrmse,dct_velocity_nrmse,fft_divergence_fraction,dct_divergence_fraction
0,1.3299986124038696,0.9403426349163055,0.2929747248256831,0.2551511642132432,0.18787297628228006,0.640625,0.0
1,0.9927360415458679,0.8259439170360565,0.16801256077102447,0.23356644839919283,0.18447085913679934,0.0,0.0
2,1.1965925097465515,0.9436821937561035,0.21135876577066035,0.25347611211777726,0.18499536756762636,0.25390625,0.0
3,1.1211881041526794,0.9335674345493317,0.16734093851730544,0.23852503972441008,0.1763305865767322,0.0078125,0.0
4,1.1363768577575684,0.8941035270690918,0.21319805048349771,0.24394237364515303,0.18074920377452144,0.09375,0.0
