optimizer_steps,loss,physical_velocity_mse,spectral_relative_error,velocity_nrmse,velocity_nrmse_u,velocity_nrmse_v,gradient_norm,rollout_nrmse,final_rollout_nrmse,boundary_normal_mse,stable
0.0,105.5147705078125,0.08380180597305298,132.69302368164062,5.872625827789307,5.988457202911377,5.734675407409668,nan,nan,nan,nan,1.0
100.0,0.3085755705833435,0.07910901308059692,0.2956364154815674,0.3029978573322296,0.29745519161224365,0.31585219502449036,13.673643112182617,nan,nan,nan,1.0
200.0,0.13935010135173798,0.040546245872974396,0.13332299888134003,0.14060735702514648,0.13448737561702728,0.14947283267974854,10.474771499633789,nan,nan,nan,1.0
300.0,0.04687182605266571,0.010011420585215092,0.04181988164782524,0.1745581179857254,0.15228357911109924,0.17392279207706451,6.542230129241943,nan,nan,nan,1.0
400.0,0.014565872959792614,0.0036066961474716663,0.007866437546908855,0.08850277215242386,0.07713402807712555,0.09846218675374985,7.048742294311523,nan,nan,nan,1.0
500.0,0.013108598068356514,0.002178339986130595,0.008129334077239037,0.09555183351039886,0.1046300008893013,0.09240808337926865,10.59000301361084,nan,nan,nan,1.0
600.0,0.00821731798350811,0.0015846015885472298,0.003565758466720581,0.07584546506404877,0.07429591566324234,0.06970279663801193,7.923567295074463,nan,nan,nan,1.0
700.0,0.007338495925068855,0.0012302801478654146,0.003617730224505067,0.07552013546228409,0.08518653362989426,0.056796181946992874,8.669153213500977,nan,nan,nan,1.0
800.0,0.006402027793228626,0.0009967406513169408,0.0033370917662978172,0.07295738160610199,0.08401989191770554,0.053082313388586044,8.470189094543457,nan,nan,nan,1.0
900.0,0.010554683394730091,0.0008007754804566503,0.009640361182391644,0.08228030055761337,0.1113252267241478,0.0685034915804863,13.065625190734863,nan,nan,nan,1.0
1000.0,0.006864780560135841,0.0006436127005144954,0.005500590894371271,0.07806161046028137,0.10085716098546982,0.0463876836001873,4.387379169464111,nan,nan,nan,1.0
1100.0,0.011967416852712631,0.0005425543640740216,0.012525451369583607,0.08291119337081909,0.11130999773740768,0.059487272053956985,9.484845161437988,nan,nan,nan,1.0
